"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XXRJ3UWW","journalArticle","","","A Relative Projection-Based Multiattribute Group Decision-Making Model With Noncooperative Behavior Management and Application to NEV Supplier Selection","","","","","","This article reports a novel consensus model where a group of internal and external experts evaluate alternatives under multiple attributes and provide mutual evaluations. First, different from previous studies, the cognitive and interest conflicts of internal and external experts are considered simultaneously. But interest conflict is emphasized for internal experts, and cognitive conflict is mainly considered for external experts. Second, we explore the categorization and management methods of noncooperative behaviors (NCBs) of experts. The relative projection-based indexes are proposed for the first time to measure the degrees of cognitive and interest conflicts by using multiattribute preference matrices (MAPMs) and the weight vectors of attributes. A group of experts are divided into three categories and the corresponding management strategies are developed. Third, we investigate the consensus mechanism among experts with cognitive and interest conflicts. For reaching an acceptable consensus level, an adjustment process is proposed to revise some local entries in MAPMs and mutual evaluation matrix (MEM). A penalty mechanism is further established to dynamically update the weights of experts. An algorithm is designed to capture the consensus reaching process in multiattribute group decision making, where internal and external experts are distinguished by proposing a parameter. Finally, the high-performance battery supplier selection of new energy vehicle is studied to illustrate the proposed model. The results reveal that the efficiency of reaching consensus can be enhanced by using the developed model with effective management of NCBs.","","2026-01-27 18:56:22","2026-01-27 18:56:22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IXZUBI2W","journalArticle","","","Prospect theory-based large-scale group decision-making method with heterogeneous preference relations","","","","","","Large-scale group decision-making (LSGDM) issues are increasingly prevalent in modern society across various domains. The preference information has emerged as a widely adopted approach to tackle LSGDM problems. However, a significant challenge lies in facilitating consensus among decision-makers (DMs) with diverse backgrounds while considering their hesitation and psychological behavior. Consequently, there is a pressing need to establish a novel model that enables DMs to evaluate alternatives with heterogeneous preference relations (HPRs). To this end, this research presents a new consensus-building method to address LSGDM problems with HPRs. First, a novel approach for solving collective priority weight is introduced based on cosine similarity and prospect theory. In particular, a new cosine similarity measure is defined for HPRs. Subsequently, a consensus index is provided to gauge the consensus level among DMs by considering their psychological behavior and risk attitudes. Further, a consensus-reaching model is developed to address LSGDM with HPRs. Finally, an instance of supplier selection is presented to demonstrate the practicality and efficacy of the proposed method.","","2026-01-27 18:56:21","2026-01-27 18:56:21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M27D9X7H","journalArticle","","","A two-level groups consensus reaching process for selecting suppliers of complex equipment under uncertain environment","","","","","","With the development of complexity in complex equipment, the selection of suppliers referred to several groups. How to select the suppliers for the complex equipment under several groups becomes an important topic. To solve the problem, a two-level consensus reaching process is designed to select the suppliers of the complex equipment in uncertain environments. First, considering the fuzzy environment of selection, the cloud model, which could reflect the fuzziness and randomness, is used to present the uncertain preferences of the decision-makers. Then, considering the negotiation and interaction of two groups, the bi-level consensus reaching process is established to present the master-slave features of complex equipment. Third, to solve the proposed bi-level model, the improved artificial bee colony is proposed, which adopts the gray wolf algorithm' searching mechanism and levy flying method. The adopted strategies could enhance the searching power of artificial bee colony. Finally, a case study is used to verify the advantages of our study.","","2026-01-27 18:56:21","2026-01-27 18:56:21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HBW75E5P","journalArticle","","","Heterogeneous large-scale group decision making with subgroup leaders: An application to the green supplier selection","","","","","","Under the mainstream development trend of energy conservation, environmental protection and sustainability, green supplier selection has become a common concern of many enterprises and scholars. Meanwhile, more and more attention has been paid to the problem of large-scale group decision making (LSGDM) which requires the participation of multiple decision makers (DMs). As the factors to be considered in selecting the optimal green supplier become increasingly complex, DMs with different professional backgrounds may give different forms of assessment. Therefore, it is of great significance to study the application of heterogeneous LSGDM in green supplier selection (GSS). In this article, a new heterogeneous LSGDM method based on subgroup leaders (SLs) is proposed. First, a novel determination method of SLs is presented based on the interaction between DMs. Then, according to the heterogeneous preference information of SLs, the solution method of the collective priority vector is given, and then an approach to determine the overall consensus level is presented by considering the consensus degree within and between subgroups. Subsequently, a consensus building method is proposed to manage the non-cooperative behaviour of DMs and reduce the divergences among DMs. Finally, an example of GSS is given to demonstrate the applicability and effectiveness of the proposed method.","","2026-01-27 18:56:21","2026-01-27 18:56:21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AH25T66J","journalArticle","","","Two-stage consensus reaching process for matching based on the cloud model in large-scale sharing platform: a case study in the industrial internet platform","","","","","","The sharing economy plays an important role in economic development, and matching is the core point in the sharing economy. However, the large-scale sharing results in low efficiencies and weak matching. To address the problem, we design a two-stage consensus reaching process for resource sharing in the platform. Firstly, considering the time-consuming process of generating satisfaction, we design a new method to generate satisfaction based on large-scale mixed historical data. The cloud model is used to unify the mixed uncertain information. Then, we design a two-stage consensus reaching process to realize stable matching. For the first stage, we maximize the total consensus of the suppliers' and demanders' group. For the second stage, to realize stable sharing, we satisfy the individuals' requirement of consensus. The platform's strategies, such as discount and scheduling, are used to adjust their consensus. Finally, considering the two-stage consensus reaching process hierarchy, we establish bi-level programming to embody the features. An improved algorithm is designed to deal with bi-level programming. Also, an industrial internet platform is used as an example to verify the method and algorithm.","","2026-01-27 18:56:21","2026-01-27 18:56:21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AUUVBMQ2","journalArticle","","","A Group Consensus Model for Multiple Attributes Group Decision Making with Interval Belief Distribution and Interval Distributed Preference Relation","","","","","","In multiple attributes group decision making (MAGDM), how to generate a consensus-based solution that is satisfactory to most of decision makers, is always a critical research issue. This paper proposes a group consensus model for MAGDM based on interval belief distribution (IBD) and interval distributed preference relation (IDPR). The transformation function from IBD to IDPR is first designed to unify IBD and IDPR. Two principles are presented to guarantee the satisfaction of internal consistency before and after the transformation. Based on the unification of IBD and IDPR, a consensus reaching process is developed. In the process, the group consensus at the attribute, alternative and global levels based on IDPRs is first measured, and a feedback mechanism consisting of identification rules and suggestion rules is then designed to help accelerate the convergence of group consensus. With the developed group consensus model, a consensus-based solution to the MAGDM problems with IBDs and IDPRs is generated. Finally, the proposed model is applied to a sustainable supplier selection problem of automobile enterprise in Wuhu, Anhui Province, China to demonstrate its correctness and effectiveness.","","2026-01-27 18:56:21","2026-01-27 18:56:21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M2ECS956","journalArticle","","","Large-Scale Behavioral Three-Way Group Decision Based on Prospect Theory Under Dual Hesitant Fuzzy Environment","","","","","","Three-way decision (TWD) is a powerful method to tackle complex and high-risk decision-making problems. The proliferation of social networks and rapid exchange of information has fostered growing instances of large-scale group decision-making (LSGDM), which has become an emerging concern because of its necessity and applicability in distinct domains. This necessitates the investigation of LSGDM within the framework of TWD. Given the essential role of the consensus on loss functions in three-way group decision (TWGD) and the significant impact of bounded rationality on decision results, this article, therefore, aims to present a consensus-reaching process (CRP) model for the prospect theory-based utility functions in LSGDM and thus build a novel large scale behavioral TWGD model for solving LSGDM issues under dual hesitant fuzzy (DHF) uncertainty. Specifically, the behavioral DHF TWD based on prospect theory is first built, wherein the threshold parameters are figured out by maximizing expected prospect value, instead of minimizing expected loss. Then, the social network based on social degree considering the co-opetition relationship is constructed, and a social network analysis method is implemented to cluster decision-makers. Accordingly, the CRP model for the prospect value adjustment is designed. Afterward, a large-scale behavioral TWGD model is proposed to tackle an LSGDM issue, resilient supplier selection. Finally, a numerical example and comparative analysis are conducted to demonstrate the effectiveness of the proposed model.","","2026-01-27 18:56:21","2026-01-27 18:56:21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VS435RDI","journalArticle","","","Decision framework of group consensus with hesitant fuzzy linguistic preference relations","","","","","","Group decision making typically requires eliciting and coordinating the preferences of group members. In this study, the authors develop an overall framework of group consensus in context of hesitant fuzzy linguistic preference relations (HFLPRs). A new notion of distance measure between two HFLPRs is defined, based on which a consensual framework consists of two mechanisms, the automatic consensus reaching and the interactive consensus reaching is presented. Accordingly, they, respectively, design two algorithms to implement these mechanisms. Finally, a group decision problem of green supplier selection is provided to exemplify and verify both of the proposed methods, and a comparative analysis with some related approaches is performed.","","2026-01-27 18:56:21","2026-01-27 18:56:21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7QXCGDJ8","journalArticle","","","Limited budget-based consensus model for large group decision making with hesitant fuzzy linguistic information","","","","","","Considering the uncertainty of large group decision-making and the limitation of resources, this paper constructs a large group decision-making method with hesitant fuzzy linguistic term set (HFLTS) based on limited budget. Firstly, by studying the basic theory of HFLTS, a weighted aggregation model of HFLTS is proposed, which can ensure the minimum weighted distance between aggregated HFLTS and HFLTSs before aggregation. Secondly, a decision makers' weight determination algorithm is proposed by considering the quality of trust sources in the social trust network, which is calculated by the LeaderRank centrality measure. Furthermore, a maximum group consensus level model (MGCM) based on limited budget is constructed, in which the adjustment cost of decision makers is determined by the hesitancy degree in the evaluation and trust out-degree. For the situation of insufficient budget, the order correlation between the alternatives' ranking before and after the budget increase is introduced to judge whether to increase the budget to achieve a higher group consensus level. Then, a limited budget-based large group decision-making method with hesitant fuzzy linguistic information is proposed. And this method is applied to the selection of equipment suppliers for hydrogen refueling station. Finally, the effectiveness of the proposed method is verified by comparison with existing research methods and sensitivity analysis.","","2026-01-27 18:56:20","2026-01-27 18:56:20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XXIHFSEJ","journalArticle","","","A decentralized feedback mechanism with compromise behavior for large-scale group consensus reaching process with application in smart logistics supplier selection","","","","","","This paper proposes a decentralized feedback mechanism to help large-scale decision makers (DMs) reach consensus considering the limited compromise behavior of subgroups. First, a novel decentralized opinion interaction mechanism is designed to identify the most inconsistent subgroups pair in the group and make them interact with each other. Then it is different from the centralized interaction mechanism, which adopts the aggregation of the opinions of other subgroups. The former is suitable for situations with low initial consensus level while the later is for high consensus level. Secondly, the compromise behavior of subgroups in the feedback process is explored, and then the concept of `compromise threshold' (CT) is defined to analyze the limited compromise behavior of subgroups. Finally, an illustrative example regarding the smart logistics supplier selection (SLEC) is described to demonstrate the effectiveness and advantages of the proposed mechanism.","","2026-01-27 18:56:20","2026-01-27 18:56:20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7ZMG32T2","journalArticle","","","Personalized trust incentive mechanisms with personality characteristics for minimum cost consensus in group decision making","","","","","","Traditional group decision making is usually to force inconsistent decision-makers (Namely, decision makers whose consensus degree does not reach a predefined level/consensus threshold.) to revise their opinions in order to improve the group consensus level. But decision-makers with conservative, neutral and radical behaviors differ in the extent to which they adjust their opinions. Hence, this paper investigates a personalized trust incentive mechanisms with personality characteristics for minimum cost consensus in group decision making, including opinion incentive and trust incentive. Firstly, the trust-driven personalized incentive mechanisms for personality characteristics, such as conservative, neutral and radical, are established to improve the adoption intention of decision makers. And then, the trust incentive evolution model with personality characteristics is established to reveal that the trust held by the remaining group members towards conservative decision makers is stable, the trust towards neutral decision makers is enhanced, and the trust towards radical decision makers is weakened. Further, the minimum cost consensus model based on personalized trust incentive mechanism with personality characteristics is constructed to generate feedback opinions of these decision makers within their respective adjustment ranges, exploring the influence law of consensus efficiency in decision makers with different personality characteristics. Finally, an illustrative example on supplier selection in the cruise ship manufacturing industry is provided to demonstrate the rationality and superiority of the proposed method.","","2026-01-27 18:56:20","2026-01-27 18:56:20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q4VYBM9E","journalArticle","","","A consensus model for hesitant fuzzy linguistic group decision-making in the framework of Dempster-Shafer evidence theory","","","","","","In group decision-making (GDM), a consensus building process (CRP) is necessary to improve the level of consensus within the group. This paper develops a new CRP model for GDM problems with hesitant fuzzy linguistic term sets (HFLTSs), which also considers the reliability of experts. Firstly, we present the calculation of expert reliability by measuring the hesitancy degree and similarity degree, simultaneously. Next, we propose an approach to generate group opinions based on the reliability of experts within the framework of the Dempster-Shafer evidence theory (DSET). In this way, the original individual opinions can be retained well and the discourse power of experts with higher reliability but lower weights can be strengthened. Further, the reliability is introduced to build a new feedback mechanism that provides experts with explicit advice during the consensus reaching process. Subsequently, a new CRP algorithm for hesitant fuzzy linguistic GDM (HFLGDM) problems is proposed to help the group achieve consensus. A practical case study is utilized to illustrate the application of the proposed algorithm. Finally, we conduct a comparison experiment to verify the advantages of the proposed CRP algorithm. (C) 2020 Elsevier B.V. All rights reserved.","","2026-01-27 18:56:20","2026-01-27 18:56:20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
