"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VDUQT39R","journalArticle","","","Business partner selection considering supply-chain centralities and causalities","","","","10.1080/16258312.2020.1824531","","While network centricity-based supplier recommendation models can make predictions with high accuracy, they do not sufficiently encompass supply chain causality, and their interpretability is controversial. We propose adding conditional probabilities from the Bayesian network to a supplier predictive model to improve interpretability while maintaining the performance of the social network approach. We construct a supplier forecasting model for 327,012 corporate transactions in the Northeast region of Japan using corporate attributes, network centrality, and conditional probabilities as features and discuss both performance and interpretability. Random forest, support vector machine, and logistic regression were applied as classifiers, and the outputs were compared. The proposed model exceeded an F1 score of 80%, and we found that conditional probabilities have resulted in the highest significance. By incorporating causal features, we were able to construct an accurate and interpretable model. Our findings have implications for companies' choice of suppliers and for local governments' consideration of regional industrial policy from a macro perspective.","","2026-01-27 19:09:57","2026-01-27 19:09:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KVDSRDYI","journalArticle","","","An integrated supplier selection approach incorporating decision maker's risk attitude using ANN, AHP and TOPSIS methods","","","","10.1108/K-04-2019-0223","","Purpose The purpose of this paper is to develop a novel integrated supplier selection approach incorporating decision maker's risk attitude using the artificial neural network (ANN), analytic hierarchy process (AHP) and technique for order of preference by similarity to ideal solution (TOPSIS) methods. Design/methodology/approach In the proposed approach, the ANN model is used to classify decision maker's risk attitude; the fuzzy AHP method is used to determine the relative weights of evaluation criteria; and the fuzzy TOPSIS method is used to evaluate ratings of suppliers. Finally, experiments are conducted to verify the feasibility and efficiency of the proposed integrated approach. Findings Experiments results show that the proposed integrated approach is effective and efficient to help decision makers to select suitable suppliers according to their risk attitudes. Originality/value The aim of this paper is to develop a novel integrated supplier selection approach incorporating decision maker's risk attitude using the ANN, AHP and TOPSIS methods. The decision maker's risk attitude toward procurement transaction is originally considered in supplier selection process.","","2026-01-27 19:09:57","2026-01-27 19:09:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6HEU8ILX","journalArticle","","","Selection of supplier management policies using clustering and fuzzy-AHP in the retail sector","","","","10.1504/IJLSM.2019.103089","","Supplier development contributes to supply chain integration and performance, thus playing an essential role in any industry. In the retail market, no formal procedures exist for the selection-assignment of supplier development programs, meaning that respective management is complex and unclear given actor and requirement heterogeneities. Multi-criteria techniques are currently used for selection and evaluation processes. However, no models exist that integrate clustering and multi-criteria techniques together to efficiently select-assign supplier development programs. This study proposes a four-phase methodology - diagnosis, program design, assignment, and proposal - that considers supplier clustering through K-means and multi-criteria fuzzification. Additionally, case-study analysis of 149 retail suppliers in Colombia clustered businesses into high (8), medium (32), and low (109) risk sets, each of which was assigned tailored development programs. The obtained results support use of the proposed methodology to improve supply chain performance for organisations with many suppliers requiring development programs. Â© Â© 2019 Inderscience Enterprises Ltd.","","2026-01-27 19:09:57","2026-01-27 19:09:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICDXD6KV","journalArticle","","","A federated learning approach to automated and secure supplier selection in cyber manufacturing as-a-service","","","","10.1016/j.jmsy.2024.09.005","","The emergence of cyber or platform-based manufacturing as-a-service is rapidly disrupting the way discrete parts are sourced and manufactured. However, the centralized business model of cyber manufacturing as-a-service platforms raises concerns about data ownership and access control of independent manufacturing suppliers. Contrary to centralized platforms, cyber manufacturing as-a-service aims to connect designers with geographically distributed manufacturers by serving as a broker who matches the query part design requirements with the manufacturing capabilities of candidate suppliers in its network. One of the key challenges in realizing the vision of cyber manufacturing as-a-service is the lack of a computationally efficient method for manufacturing capability search while maintaining data security of the proprietary datasets of the suppliers in the network. In this paper, we propose a federated learning approach that utilizes a deep unsupervised part retrieval model (FL-DUPR) to learn a federated embedding of suppliers' manufacturing capabilities without directly accessing their proprietary datasets. We demonstrate through two case studies that this approach yields a supplier selection accuracy of 89 % when the manufacturing capabilities of the suppliers do not overlap, and a multi-label supplier selection accuracy of 87 % when there are significant overlaps in the suppliers' manufacturing capabilities. We also show that our unsupervised learning approach outperforms the baseline supervised learning classification model trained under the same federated learning framework. The results demonstrate the promise of the proposed federated embedding approach for automated identification of the required manufacturing capabilities offered by various suppliers without directly accessing their proprietary data, thus paving the way for a more secure cyber manufacturing as-a-service business model.","","2026-01-27 19:09:57","2026-01-27 19:09:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LMUQ3JM5","journalArticle","","","A dynamic feedback model for partner selection in agile supply chains","","","","10.1108/01443571211195745","","Purpose: The purpose of this paper is to present a four-phase dynamic feedback model for supply partner selection in agile supply chains (ASCs). ASCs are commonly used as a response to increasingly dynamic markets. However, partner selection in ASCs is inherently more complex and difficult under conditions of uncertainty and ambiguity as supply chains form and re-form. Design/methodology/approach: The model draws on both quantitative and qualitative techniques, including the Dempster-Shafer and optimisation theories, radial basis function artificial neural networks (RBF-ANN), analytic network process-mixed integer multi-objective programming (ANP-MIMOP), Kraljic's supplier classification matrix and principles of continuous improvement. It incorporates modern computer programming techniques to overcome the information processing difficulties inherent in selecting from amongst large numbers of potential suppliers against multiple criteria in conditions of uncertainty. Findings: The model enables decision makers to make efficient and effective use of the vastly increased amount of data that is available in today's information-driven society and it offers a comprehensive, systematic and rigorous approach to a complex problem. Research limitations/implications: The model has two main drawbacks. First, practitioners may find it difficult to match supplier evaluation criteria with the strategic objectives for an ASC. Second, they may perceive the model to be too complex for use when speed is of the essence. Originality/value: The main contribution of this paper is that, for the first time, it draws together work from previous articles that have described each of the four stages of the model in detail to present a comprehensive overview of the model. Â© Emerald Group Publishing Limited.","","2026-01-27 19:09:57","2026-01-27 19:09:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CFVJJMND","journalArticle","","","Supplier selection using a clustering method based on a new distance for interval type-2 fuzzy sets: A case study","","","","10.1016/j.asoc.2015.09.029","","Supplier selection is a decision-making process to identify and evaluate suppliers for making contracts. Here, we use interval type-2 fuzzy values to show the decision makers' preferences and also introduce a new formula to compute the distance between two interval type-2 fuzzy sets. The performance of the proposed distance formula in comparison with the normalized Hamming, normalized Hamming based on the Hausdorff metric, normalized Euclidean and the signed distances is evaluated. The results show that the signed distance has the same trend as our method, but the other three methods are not appropriate for interval type-2 fuzzy sets. Using this approach, we propose a hierarchical clustering-based method to solve a supplier selection problem and find the proximity of the suppliers. To illustrate the applicability of the proposed method, first a case study of supplier selection problem with 8 criteria and 8 suppliers are illustrated and next, an example taken from the literature is worked through. Then, to test the hierarchical clustering-based method and compare with the obtained results by two other methods, a comparative study using experimental analysis is designed. The results show that while the proposed hierarchical clustering algorithm provides acceptable results, it is also conveniently appropriate for using interval type-2 fuzzy sets and obtaining proximity of suppliers. (C) 2015 Elsevier B.V. All rights reserved.","","2026-01-27 19:09:57","2026-01-27 19:09:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BPPV85GP","journalArticle","","","A gateway to realising sustainability performance via green supply chain management practices: A PLS-ANN approach","","","","10.1016/j.eswa.2018.04.013","","This study aims to critically evaluate whether the implementation of selected green supply chain management (GSCM) practices will drive and empower sustainability among IS014001-certified manufacturing firms in Malaysia. Besides this, the significance and strength of the relationships between GSCM practices and sustainability performance were also investigated and subsequently ranked using a two-stage PLSANN approach. Primary data was collected from 178 large 15014001-certified Malaysian manufacturers through self-administered survey questionnaires. PLS-SEM using SmartPLS 3.0 and artificial neural network analysis (ANN) served as statistical analysis tools. This study draws out the prominence of GSCM practices as strategies to achieve sustainability performance. However, the relationship between supplier selection and supplier evaluation with sustainability performance is surprisingly insignificant. Furthermore, cooperation with customers is found to be significantly but negatively related to sustainability performance. Nevertheless, this contributes new knowledge to the literature with sensible justifications being offered accordingly. (C) 2018 Elsevier Ltd. All rights reserved.","","2026-01-27 19:09:56","2026-01-27 19:09:56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KCBB2TB9","journalArticle","","","A hybrid approach using data envelopment analysis and artificial neural network for optimising 3PL supplier selection","","","","10.1504/IJLSM.2017.081500","","Today third party logistics (3PL) service providers are into almost all the businesses right from providing raw material to packaging. 3PLs are also getting involved in customers concerned with operations. At a suitable price and consideration of all affecting criteria, anything can be outsourced. Any exporter needs to find a smart balance of what to perform in-house and what to hire outside providers to do (i.e., increase verticals and reduce horizontal supply chain operations). Thus, the demand of 3PL provider has become an important issue for organisations seeking quality customer service and cost reduction. The current research presents an integrated data envelopment analysis (DEA) and artificial neural networks (ANN) methodology for the evaluation and selection of 3PL providers. DEA is employed to identify the maximally efficient 3PL and to eliminate the unsuitable ones","","2026-01-27 19:09:56","2026-01-27 19:09:56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"626A825A","journalArticle","","","Developing a Two-Stage Decision-Making Method for Selecting and Clustering Suppliers Based on the Resilience Criteria","","","","10.1007/s10726-024-09903-y","","The selection of appropriate suppliers is a critical issue for the survival of a company in a competitive market environment and is also one of the most significant challenges for organizations. The present study proposes a method for supplier selection by organizing them using clustering techniques. In this study, suppliers are selected based on a set of resilience criteria. The Improved Best Worst Method was used to determine the weight of the criteria using GAMS software. The two clustering algorithms including K-means and DBSCAN were used in this study. The DBSCAN algorithm was used to identify the noise points as the K-means algorithm could not identify these points properly. Both algorithms were implemented in the MATLAB software considering a scenario with 30 suppliers and 22 resilience criteria. The criteria including raw material quality, delivery time of raw materials, and reliability have the highest priority. Based on the results, some managerial implications were also presented. Â© The Author(s), under exclusive licence to Springer Nature B.V. 2024.","","2026-01-27 19:09:56","2026-01-27 19:09:56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L7XF9E6L","journalArticle","","","A machine learning-based hybrid approach for maximizing supply chain reliability in a pharmaceutical supply chain","","","","10.1016/j.cie.2024.110834","","In today's interconnected global economy, supply chain (SC) reliability is crucial particularly in sectors like the pharmaceutical industry, where disruptions can significantly impact public health. SCs have become important to industries due to a customer-driven shift aimed at improving SC reliability, especially in terms of delivery performance. It is crucial to define and find the best strategy for reaching the organizational objectives in SC. While designing a SC, supplier selection (SS) and order allocation are two decisions that have to be made separately. This study addresses the critical challenges of SS and order allocation within pharmaceutical SCs. It proposes a novel, two-phased hybrid approach, the first phase integrates machine learning(ML) and multicriteria decision-making(MCDM) method for robust SS. The second phase develops a mathematical model to optimize order allocation while considering SC reliability. This work employs support vector machine (SVM) as the particular ML method, in which the training data are historical corporate data that dictate parameters weights. These weights are then used in the measurement of alternatives and ranking according to compromise solution (MARCOS) method to rank the suppliers. A multi- objective mixed integer programming (MOMIP) model is then formulated to identify the right order quantity from the identified suppliers of a pharmaceutical SC in order to minimize SC cost and maximize SC reliability. The results indicate that by optimizing SC reliability and costs, orders are directed to high-priority suppliers. This study provides a comprehensive, data-driven decision-making framework to assure SC's reliability and cost-efficiency. The implications of the findings are also profound and contribute valuable insights for industry practitioners to improve the performance of SC. To illustrate the proposed methodology, an SC example of a pharmaceutical industry is analyzed using the LINGO solver.","","2026-01-27 19:09:56","2026-01-27 19:09:56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4GNPUFN8","journalArticle","","","Reputation-Aware Supplier Assessment for Blockchain-Enabled Supply Chain in Industry 4.0","","","","10.1109/TII.2022.3190380","","In Industry 4.0, the development of intelligent supply chains is the key to improving enterprise efficiency and customer satisfaction. At present, the strategy with blockchain to optimize the supply chain ensures the security of data sharing and interaction between different suppliers. However, the quality of service (QoS) loss in time efficiency and supplier cooperation is still a severe problem in these strategies. Therefore, it is essential to conduct reputable supplier selection to reduce QoS loss under the premise of blockchain security. Meanwhile, choosing a reputable supplier as the primary peer in the blockchain consensus process can also effectively reduce transaction latency. To solve this problem, a reputation-aware supplier assessment system, named SAS, is proposed. Specifically, Canopy and K-medoids are utilized to classify suppliers preliminarily. Then backpropagation neural network is deployed to evaluate supplier reputation. The results show that SAS is effective in supplier reputation evaluation through extensive experiments.","","2026-01-27 19:09:56","2026-01-27 19:09:56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NUGVE6EV","journalArticle","","","Using an Integrated Group Decision Method Based on SVM  TFN-RS-AHP  and TOPSIS-CD for Cloud Service Supplier Selection","","","","10.1155/2017/3143502","","To solve the cloud service supplier selection problem under the background of cloud computing emergence, an integrated group decision method is proposed. The cloud service supplier selection index framework is built from two perspectives of technology and technology management. Support vector machine-(SVM-) based classification model is applied for the preliminary screening to reduce the number of candidate suppliers. A triangular fuzzy number-rough sets-analytic hierarchy process (TFN-RS-AHP) method is designed to calculate supplier's index value by expert's wisdom and experience. The index weight is determined by criteria importance through intercriteria correlation (CRITIC). The suppliers are evaluated by the improved TOPSIS replacing Euclidean distance with connection distance (TOPSIS-CD). An electric power enterprise's case is given to illustrate the correctness and feasibility of the proposed method. Â© 2017 Lian-hui Li et al.","","2026-01-27 19:09:56","2026-01-27 19:09:56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
